"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Minkowski3.perceptual","N_known.perceptual","Percent_known.perceptual"
"UNHEALED",0.824,0.412,2.471,2.706,0.647,3.353,1.286,0.795,1.772,2.085,1.169,2.06,3.353,0.282,"Visual",4.189,17,1
"UNHEALTHFUL",1.222,1.333,0.556,1.389,0.556,2.222,1.665,1.715,1.294,1.501,1.149,1.629,2.222,0.229,"Visual",2.63,18,1
"UNHEALTHILY",0.895,1.579,0.632,3.158,1.211,3.053,1.449,1.924,1.116,1.675,1.718,1.224,3.158,0.24,"Interoceptive",4.054,19,0.95
"UNHEALTHINESS",1.1,1.05,0.85,3.75,1.2,2.15,1.586,1.605,1.725,1.446,1.576,1.694,3.75,0.287,"Interoceptive",4.072,20,1
"UNHEALTHY",0.588,1.706,1.059,2.294,1,2.765,1.064,1.829,1.478,1.829,1.369,2.251,2.765,0.231,"Visual",3.436,17,1
"UNHEARD",2.087,0,0.043,0.696,0,0.391,2.172,0,0.209,1.146,0,0.941,2.087,0.649,"Auditory",2.117,23,1
"UNHEARD OF",2,0.118,0.059,0.882,0.118,0.765,2.372,0.485,0.243,1.317,0.485,1.437,2,0.493,"Auditory",2.091,17,1
"UNHEARING",2.2,0.333,0.333,1.2,0.333,0.8,2.242,1.291,1.291,1.935,1.291,1.781,2.2,0.359,"Auditory",2.351,15,0.833
"UNHEATED",0.286,1.381,3.714,2.048,0.333,1.762,0.784,1.774,1.848,1.936,0.73,1.758,3.714,0.36,"Haptic",4.081,21,1
"UNHEEDED",1.364,0.136,0.273,0.636,0.091,1.5,1.814,0.64,0.703,1.217,0.426,1.596,1.5,0.352,"Visual",1.836,22,0.667
"UNHEEDING",1.929,0,0.429,1.857,0.143,2.071,1.979,0,1.089,2.07,0.363,2.165,2.071,0.322,"Visual",2.825,14,0.7
"UNHEEDINGLY",1.333,0,0,0.6,0,2.267,1.877,0,0,1.298,0,2.187,2.267,0.54,"Visual",2.423,15,0.789
"UNHELPFUL",2.474,0.158,0.579,1.632,0.263,2.895,1.926,0.688,1.261,1.739,0.806,1.883,2.895,0.342,"Visual",3.529,19,1
"UNHELPFULLY",2.35,0.05,0.35,1.3,0.05,2.8,2.134,0.224,0.813,1.809,0.224,2.142,2.8,0.399,"Visual",3.337,20,1
"UNHELPFULNESS",2.579,0.158,0.737,1.947,0.158,3.789,1.835,0.501,1.098,1.87,0.501,1.619,3.789,0.388,"Visual",4.297,19,1
"UNHERALDED",1.3,0,0,0.2,0,1.2,1.829,0,0,0.632,0,1.751,1.3,0.481,"Auditory",1.578,10,0.526
