Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
STEAK KNIFE,0.474,0.158,3.211,0.0,0.0,4.158,1.172,0.688,1.782,0.0,0.0,1.259,4.158,0.52,Visual,4.719,19,1.0
WOODWORK,1.368,0.263,3.211,0.263,1.105,4.211,1.739,1.147,1.903,1.147,1.487,1.548,4.211,0.379,Visual,4.816,19,1.0
FLEECE,0.158,0.0,3.211,0.158,0.211,2.842,0.688,0.0,2.016,0.501,0.419,2.007,3.211,0.488,Haptic,3.827,19,1.0
STEAM BATH,1.105,0.263,3.211,2.368,0.789,3.474,1.524,0.933,1.751,1.832,1.316,1.124,3.474,0.286,Visual,4.484,19,1.0
ERECT,0.526,0.0,3.211,2.211,0.0,4.421,1.429,0.0,1.96,1.932,0.0,0.838,4.421,0.426,Visual,5.072,19,1.0
BOWTIE,0.158,0.053,3.211,0.211,0.105,4.211,0.375,0.229,1.843,0.918,0.315,1.182,4.211,0.523,Visual,4.759,19,1.0
UNBUCKLE,2.421,0.211,3.211,0.842,0.105,3.526,1.805,0.631,1.843,1.344,0.315,1.611,3.526,0.332,Visual,4.51,19,1.0
MOISTEN,0.263,0.316,3.211,0.316,0.158,2.947,0.452,0.671,1.718,0.946,0.688,1.84,3.211,0.423,Haptic,3.888,19,1.0
AFFECTIONATELY,2.684,0.526,3.211,2.947,0.684,3.263,1.827,1.264,1.96,2.198,1.293,1.727,3.263,0.206,Visual,4.838,19,1.0
UNBENDABLE,0.263,0.0,3.211,0.526,0.0,2.789,0.733,0.0,1.988,1.264,0.0,2.275,3.211,0.473,Haptic,3.802,19,1.0
NOTEPAD,0.316,0.0,3.211,0.0,0.053,3.947,0.946,0.0,1.988,0.0,0.229,1.471,3.947,0.524,Visual,4.557,19,0.95
MUSCLED,0.474,0.0,3.211,1.263,0.0,4.421,1.429,0.0,1.96,1.695,0.0,1.071,4.421,0.472,Visual,4.955,19,0.95
POOL TABLE,1.158,0.053,3.211,0.053,0.421,4.474,1.772,0.229,2.123,0.229,1.121,1.172,4.474,0.472,Visual,4.99,19,1.0
EARPHONE,3.441,0.147,3.206,0.559,0.176,3.5,1.957,0.857,1.572,1.16,0.869,1.692,3.5,0.304,Visual,4.888,34,1.0
ABDOMINAL,0.933,0.2,3.2,2.733,0.2,3.8,1.668,0.775,1.897,2.052,0.775,1.265,3.8,0.325,Visual,4.775,15,0.938
SENSUOUSLY,1.133,1.0,3.2,2.133,0.867,2.067,1.846,1.773,1.897,2.232,1.846,1.831,3.2,0.224,Haptic,3.789,15,0.938
RUFFLE,1.867,0.133,3.2,0.6,0.0,2.933,2.066,0.516,1.656,1.121,0.0,1.944,3.2,0.366,Haptic,4.015,15,0.938
CRADLING,0.267,0.0,3.2,0.4,0.0,2.4,0.799,0.0,1.656,0.91,0.0,2.165,3.2,0.511,Haptic,3.6,15,0.938
EARTHY,0.867,1.933,3.2,1.067,2.933,3.733,1.506,2.052,1.897,1.58,1.87,1.534,3.733,0.209,Visual,4.921,15,1.0
LOCKET,0.45,0.05,3.2,0.2,0.05,4.15,0.686,0.224,2.016,0.894,0.224,1.461,4.15,0.506,Visual,4.708,20,0.952
BUNNY,1.6,0.5,3.2,0.3,1.1,4.6,1.847,1.235,1.765,0.923,1.553,0.94,4.6,0.381,Visual,5.139,20,1.0
GOOP,0.45,0.45,3.2,0.25,0.95,3.45,0.999,0.945,1.936,0.786,1.504,1.504,3.45,0.366,Visual,4.215,20,0.952
GOLF CLUB,0.7,0.1,3.2,0.45,0.3,3.35,1.342,0.308,1.936,1.146,0.979,1.755,3.35,0.401,Visual,4.137,20,1.0
SLUSHINESS,2.267,2.333,3.2,0.8,0.333,3.467,1.792,1.799,1.74,1.474,0.9,1.807,3.467,0.253,Visual,4.631,15,0.938
SOAPINESS,0.0,0.35,3.2,0.4,1.2,3.65,0.0,0.813,1.908,0.995,1.542,1.565,3.65,0.415,Visual,4.366,20,1.0
WET SUIT,0.35,0.05,3.2,0.75,0.4,3.45,0.671,0.224,1.852,1.372,0.681,1.638,3.45,0.415,Visual,4.205,20,1.0
FIBERGLASS,0.6,0.0,3.2,0.3,0.2,3.85,1.392,0.0,1.908,1.129,0.41,1.631,3.85,0.472,Visual,4.483,20,1.0
SODOMIZE,0.95,0.35,3.2,2.95,0.2,2.85,1.538,1.137,1.908,2.305,0.523,1.899,3.2,0.286,Haptic,4.353,20,0.952
NOSEBLEED,0.4,1.3,3.2,3.1,1.25,3.95,0.995,1.525,1.576,1.744,1.682,1.356,3.95,0.269,Visual,5.045,20,0.952
POCKETKNIFE,0.3,0.05,3.2,0.2,0.0,3.85,0.801,0.224,1.735,0.616,0.0,1.565,3.85,0.507,Visual,4.479,20,1.0
CIRCUMCISION,0.415,0.0,3.195,2.073,0.0,2.976,0.921,0.0,2.17,2.114,0.0,2.115,3.195,0.369,Haptic,4.081,41,1.0
DIME,0.714,0.0,3.19,0.095,0.0,3.714,1.419,0.0,1.965,0.436,0.0,1.821,3.714,0.481,Visual,4.381,21,1.0
HOUND DOG,3.286,0.19,3.19,0.048,1.667,4.333,1.793,0.68,1.887,0.218,1.88,1.278,4.333,0.337,Visual,5.36,21,1.0
PHONE,3.905,0.0,3.19,0.095,0.095,3.857,1.546,0.0,1.965,0.301,0.436,1.769,3.905,0.35,Auditory,5.306,21,1.0
AX,1.625,0.0,3.188,0.188,0.125,3.938,1.455,0.0,1.759,0.75,0.342,1.526,3.938,0.434,Visual,4.606,16,0.889
BRA,0.25,0.0,3.188,0.25,0.25,3.938,0.577,0.0,1.515,0.577,0.775,1.063,3.938,0.5,Visual,4.538,16,1.0
EDGE,0.938,0.312,3.188,0.812,0.188,4.25,1.731,1.014,1.834,1.559,0.544,1.125,4.25,0.419,Visual,4.799,16,1.0
EGG,0.875,4.062,3.188,0.25,2.938,3.562,1.544,1.731,2.04,0.577,1.769,1.788,4.062,0.256,Gustatory,5.547,16,0.941
REDWOOD,0.125,0.062,3.188,0.188,1.438,4.438,0.342,0.25,1.797,0.544,1.825,1.315,4.438,0.464,Visual,4.97,16,0.941
SHARD,0.5,0.062,3.188,0.812,0.062,3.125,0.816,0.25,1.559,1.515,0.25,1.821,3.188,0.403,Haptic,3.991,16,0.8
TENT,0.625,0.0,3.188,0.312,0.562,4.812,0.885,0.0,1.87,1.014,0.814,0.544,4.812,0.507,Visual,5.245,16,1.0
TAMPERPROOF,0.25,0.375,3.188,0.688,0.312,3.062,0.775,1.088,1.87,1.014,1.014,1.526,3.188,0.373,Haptic,3.948,16,0.941
ARTHRITIC,1.0,0.188,3.188,3.688,0.312,2.438,1.461,0.75,1.759,1.702,0.793,1.788,3.688,0.324,Interoceptive,4.611,16,0.889
