Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
UNCLASP,1.667,0.286,3.857,0.571,0.333,3.238,1.683,0.902,1.459,1.207,0.913,1.895,3.857,0.359,Haptic,4.582,21,1.0
FLOOR,1.0,0.0,3.857,0.524,0.238,4.19,1.517,0.0,1.108,1.209,0.768,0.981,4.19,0.427,Visual,5.093,21,1.0
SMOOCHES,2.3,1.3,3.85,1.6,0.2,3.45,1.895,1.593,1.461,1.903,0.523,1.638,3.85,0.287,Haptic,4.885,20,1.0
CHRISTMAS GIFT,2.0,1.05,3.85,1.8,1.05,4.25,1.747,1.605,1.531,1.936,1.638,1.372,4.25,0.229,Visual,5.313,20,1.0
PISTOL GRIP,0.3,0.15,3.85,0.4,0.15,2.6,0.923,0.671,1.565,1.188,0.489,2.01,3.85,0.497,Haptic,4.212,20,0.952
PAPER CUP,0.65,1.0,3.85,0.4,0.7,4.1,1.565,1.864,1.755,1.273,1.559,1.518,4.1,0.346,Visual,5.035,20,1.0
GROUND,0.632,0.368,3.842,0.579,1.263,4.211,1.342,0.684,1.675,1.575,1.327,1.182,4.211,0.353,Visual,5.116,19,1.0
LIGHT SWITCH,1.368,0.158,3.842,0.368,0.263,4.211,1.64,0.688,1.5,1.212,1.147,1.273,4.211,0.397,Visual,5.117,19,1.0
OINTMENT,0.053,0.368,3.842,0.737,2.737,3.579,0.229,1.165,1.302,1.147,1.593,1.71,3.842,0.335,Haptic,4.98,19,1.0
BED LINEN,0.842,0.211,3.842,0.684,1.211,3.895,1.537,0.918,1.642,1.376,1.584,1.15,3.895,0.345,Visual,4.912,19,1.0
FLIMSY,0.737,0.0,3.842,0.368,0.0,3.105,1.284,0.0,1.608,0.955,0.0,1.595,3.842,0.477,Haptic,4.433,19,1.0
PUNCHING BAG,1.211,0.0,3.842,0.789,0.0,3.842,1.873,0.0,1.675,1.653,0.0,1.5,3.842,0.397,Haptic,4.873,19,1.0
BRITTLENESS,1.632,0.368,3.842,0.842,0.0,3.211,1.535,0.831,1.642,1.5,0.0,1.653,3.842,0.388,Haptic,4.56,19,1.0
PRICK,1.105,0.0,3.842,2.474,0.0,3.105,1.853,0.0,1.425,1.982,0.0,1.696,3.842,0.365,Haptic,4.69,19,1.0
DILDO,0.789,0.263,3.842,2.526,0.263,3.684,0.976,0.562,1.74,2.27,0.562,1.827,3.842,0.315,Haptic,4.978,19,1.0
FOUNTAIN PEN,0.421,0.211,3.842,0.158,0.158,4.421,0.838,0.631,1.573,0.688,0.501,1.017,4.421,0.463,Visual,5.232,19,1.0
